Provincias;Grupo penal;periodo;Total
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;36
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;7
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;20
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;1
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;2
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;0
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;2
Araba/Álava;AMENAZAS Y COACCIONES;2024;236
Araba/Álava;AMENAZAS Y COACCIONES;2023;232
Araba/Álava;AMENAZAS Y COACCIONES;2022;116
Araba/Álava;AMENAZAS Y COACCIONES;2021;86
Araba/Álava;AMENAZAS Y COACCIONES;2020;62
Araba/Álava;AMENAZAS Y COACCIONES;2019;49
Araba/Álava;AMENAZAS Y COACCIONES;2018;60
Araba/Álava;AMENAZAS Y COACCIONES;2017;33
Araba/Álava;AMENAZAS Y COACCIONES;2016;29
Araba/Álava;AMENAZAS Y COACCIONES;2015;28
Araba/Álava;AMENAZAS Y COACCIONES;2014;2
Araba/Álava;AMENAZAS Y COACCIONES;2013;4
Araba/Álava;AMENAZAS Y COACCIONES;2012;6
Araba/Álava;AMENAZAS Y COACCIONES;2011;1
Araba/Álava;CONTRA EL HONOR;2024;0
Araba/Álava;CONTRA EL HONOR;2023;0
Araba/Álava;CONTRA EL HONOR;2022;1
Araba/Álava;CONTRA EL HONOR;2021;1
Araba/Álava;CONTRA EL HONOR;2020;0
Araba/Álava;CONTRA EL HONOR;2019;0
Araba/Álava;CONTRA EL HONOR;2018;1
Araba/Álava;CONTRA EL HONOR;2017;2
Araba/Álava;CONTRA EL HONOR;2016;1
Araba/Álava;CONTRA EL HONOR;2015;1
Araba/Álava;CONTRA EL HONOR;2014;0
Araba/Álava;CONTRA EL HONOR;2013;3
Araba/Álava;CONTRA EL HONOR;2012;0
Araba/Álava;CONTRA EL HONOR;2011;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;2
