Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad
badajoz;interferencia_en_los_datos_y_en_el_sistema;2022;20;666049;Extremadura;0.03
balears;acceso__e_interceptacion_ilicita;2024;246;1249844;Islas Baleares;0.1968
balears;acceso__e_interceptacion_ilicita;2023;215;1231768;Islas Baleares;0.1745
balears;acceso__e_interceptacion_ilicita;2022;240;1209906;Islas Baleares;0.1984
balears;amenazas_y_coacciones;2024;659;1249844;Islas Baleares;0.5273
balears;amenazas_y_coacciones;2023;573;1231768;Islas Baleares;0.4652
balears;amenazas_y_coacciones;2022;567;1209906;Islas Baleares;0.4686
balears;contra_el_honor;2024;25;1249844;Islas Baleares;0.02
balears;contra_el_honor;2023;28;1231768;Islas Baleares;0.0227
balears;contra_el_honor;2022;29;1209906;Islas Baleares;0.024
balears;contra_la_propiedad_industrial/intelectual;2024;1;1249844;Islas Baleares;0.0008
balears;contra_la_propiedad_industrial/intelectual;2023;4;1231768;Islas Baleares;0.0032
balears;contra_la_propiedad_industrial/intelectual;2022;1;1209906;Islas Baleares;0.0008
balears;delitos_sexuales;2024;57;1249844;Islas Baleares;0.0456
balears;delitos_sexuales;2023;60;1231768;Islas Baleares;0.0487
balears;delitos_sexuales;2022;60;1209906;Islas Baleares;0.0496
balears;falsificacion_informatica;2024;433;1249844;Islas Baleares;0.3464
balears;falsificacion_informatica;2023;258;1231768;Islas Baleares;0.2095
balears;falsificacion_informatica;2022;313;1209906;Islas Baleares;0.2587
balears;fraude_informatico;2024;11491;1249844;Islas Baleares;9.1939
balears;fraude_informatico;2023;10299;1231768;Islas Baleares;8.3612
balears;fraude_informatico;2022;7452;1209906;Islas Baleares;6.1592
balears;interferencia_en_los_datos_y_en_el_sistema;2024;41;1249844;Islas Baleares;0.0328
balears;interferencia_en_los_datos_y_en_el_sistema;2023;48;1231768;Islas Baleares;0.039
balears;interferencia_en_los_datos_y_en_el_sistema;2022;39;1209906;Islas Baleares;0.0322
barcelona;acceso__e_interceptacion_ilicita;2024;567;5959941;Cataluña;0.0951
barcelona;acceso__e_interceptacion_ilicita;2023;541;5877672;Cataluña;0.092
barcelona;acceso__e_interceptacion_ilicita;2022;513;5797356;Cataluña;0.0885
barcelona;amenazas_y_coacciones;2024;636;5959941;Cataluña;0.1067
barcelona;amenazas_y_coacciones;2023;476;5877672;Cataluña;0.081
barcelona;amenazas_y_coacciones;2022;495;5797356;Cataluña;0.0854
barcelona;contra_el_honor;2024;14;5959941;Cataluña;0.0023
barcelona;contra_el_honor;2023;8;5877672;Cataluña;0.0014
barcelona;contra_el_honor;2022;9;5797356;Cataluña;0.0016
barcelona;contra_la_propiedad_industrial/intelectual;2024;22;5959941;Cataluña;0.0037
barcelona;contra_la_propiedad_industrial/intelectual;2023;7;5877672;Cataluña;0.0012
barcelona;contra_la_propiedad_industrial/intelectual;2022;9;5797356;Cataluña;0.0016
barcelona;delitos_sexuales;2024;142;5959941;Cataluña;0.0238
barcelona;delitos_sexuales;2023;108;5877672;Cataluña;0.0184
barcelona;delitos_sexuales;2022;143;5797356;Cataluña;0.0247
barcelona;falsificacion_informatica;2024;1195;5959941;Cataluña;0.2005
barcelona;falsificacion_informatica;2023;254;5877672;Cataluña;0.0432
barcelona;falsificacion_informatica;2022;252;5797356;Cataluña;0.0435
barcelona;fraude_informatico;2024;53332;5959941;Cataluña;8.9484
barcelona;fraude_informatico;2023;53494;5877672;Cataluña;9.1012
barcelona;fraude_informatico;2022;45021;5797356;Cataluña;7.7658
barcelona;interferencia_en_los_datos_y_en_el_sistema;2024;57;5959941;Cataluña;0.0096
barcelona;interferencia_en_los_datos_y_en_el_sistema;2023;71;5877672;Cataluña;0.0121
barcelona;interferencia_en_los_datos_y_en_el_sistema;2022;71;5797356;Cataluña;0.0122
burgos;acceso__e_interceptacion_ilicita;2024;62;362663;Castilla y León;0.171
burgos;acceso__e_interceptacion_ilicita;2023;38;359740;Castilla y León;0.1056
burgos;acceso__e_interceptacion_ilicita;2022;34;357370;Castilla y León;0.0951
burgos;amenazas_y_coacciones;2024;134;362663;Castilla y León;0.3695
burgos;amenazas_y_coacciones;2023;128;359740;Castilla y León;0.3558
burgos;amenazas_y_coacciones;2022;139;357370;Castilla y León;0.389
burgos;contra_el_honor;2024;3;362663;Castilla y León;0.0083
burgos;contra_el_honor;2023;4;359740;Castilla y León;0.0111
burgos;contra_el_honor;2022;6;357370;Castilla y León;0.0168
burgos;contra_la_propiedad_industrial/intelectual;2024;0;362663;Castilla y León;0.0
burgos;contra_la_propiedad_industrial/intelectual;2023;1;359740;Castilla y León;0.0028
burgos;contra_la_propiedad_industrial/intelectual;2022;0;357370;Castilla y León;0.0
burgos;delitos_sexuales;2024;12;362663;Castilla y León;0.0331
burgos;delitos_sexuales;2023;7;359740;Castilla y León;0.0195
burgos;delitos_sexuales;2022;7;357370;Castilla y León;0.0196
burgos;falsificacion_informatica;2024;129;362663;Castilla y León;0.3557
burgos;falsificacion_informatica;2023;156;359740;Castilla y León;0.4336
burgos;falsificacion_informatica;2022;115;357370;Castilla y León;0.3218
burgos;fraude_informatico;2024;3000;362663;Castilla y León;8.2721
burgos;fraude_informatico;2023;3205;359740;Castilla y León;8.9092
burgos;fraude_informatico;2022;2505;357370;Castilla y León;7.0095
burgos;interferencia_en_los_datos_y_en_el_sistema;2024;15;362663;Castilla y León;0.0414
burgos;interferencia_en_los_datos_y_en_el_sistema;2023;21;359740;Castilla y León;0.0584
burgos;interferencia_en_los_datos_y_en_el_sistema;2022;16;357370;Castilla y León;0.0448
caceres;acceso__e_interceptacion_ilicita;2024;83;388190;Extremadura;0.2138
caceres;acceso__e_interceptacion_ilicita;2023;41;388652;Extremadura;0.1055
caceres;acceso__e_interceptacion_ilicita;2022;41;388257;Extremadura;0.1056
caceres;amenazas_y_coacciones;2024;158;388190;Extremadura;0.407
caceres;amenazas_y_coacciones;2023;132;388652;Extremadura;0.3396
caceres;amenazas_y_coacciones;2022;111;388257;Extremadura;0.2859
caceres;contra_el_honor;2024;30;388190;Extremadura;0.0773
caceres;contra_el_honor;2023;13;388652;Extremadura;0.0334
caceres;contra_el_honor;2022;24;388257;Extremadura;0.0618
caceres;contra_la_propiedad_industrial/intelectual;2024;1;388190;Extremadura;0.0026
caceres;contra_la_propiedad_industrial/intelectual;2023;0;388652;Extremadura;0.0
caceres;contra_la_propiedad_industrial/intelectual;2022;0;388257;Extremadura;0.0
caceres;delitos_sexuales;2024;10;388190;Extremadura;0.0258
caceres;delitos_sexuales;2023;18;388652;Extremadura;0.0463
caceres;delitos_sexuales;2022;14;388257;Extremadura;0.0361
caceres;falsificacion_informatica;2024;427;388190;Extremadura;1.1
caceres;falsificacion_informatica;2023;272;388652;Extremadura;0.6999
caceres;falsificacion_informatica;2022;92;388257;Extremadura;0.237
caceres;fraude_informatico;2024;2381;388190;Extremadura;6.1336
caceres;fraude_informatico;2023;2640;388652;Extremadura;6.7927
caceres;fraude_informatico;2022;2154;388257;Extremadura;5.5479
caceres;interferencia_en_los_datos_y_en_el_sistema;2024;3;388190;Extremadura;0.0077
caceres;interferencia_en_los_datos_y_en_el_sistema;2023;20;388652;Extremadura;0.0515
caceres;interferencia_en_los_datos_y_en_el_sistema;2022;5;388257;Extremadura;0.0129
cadiz;acceso__e_interceptacion_ilicita;2024;368;1261420;Andalucía;0.2917
cadiz;acceso__e_interceptacion_ilicita;2023;251;1258730;Andalucía;0.1994
cadiz;acceso__e_interceptacion_ilicita;2022;169;1254866;Andalucía;0.1347
cadiz;amenazas_y_coacciones;2024;621;1261420;Andalucía;0.4923
cadiz;amenazas_y_coacciones;2023;545;1258730;Andalucía;0.433
cadiz;amenazas_y_coacciones;2022;482;1254866;Andalucía;0.3841
cadiz;contra_el_honor;2024;58;1261420;Andalucía;0.046
cadiz;contra_el_honor;2023;55;1258730;Andalucía;0.0437
cadiz;contra_el_honor;2022;58;1254866;Andalucía;0.0462
cadiz;contra_la_propiedad_industrial/intelectual;2024;4;1261420;Andalucía;0.0032
cadiz;contra_la_propiedad_industrial/intelectual;2023;2;1258730;Andalucía;0.0016
cadiz;contra_la_propiedad_industrial/intelectual;2022;3;1254866;Andalucía;0.0024
cadiz;delitos_sexuales;2024;48;1261420;Andalucía;0.0381
cadiz;delitos_sexuales;2023;71;1258730;Andalucía;0.0564
cadiz;delitos_sexuales;2022;66;1254866;Andalucía;0.0526
cadiz;falsificacion_informatica;2024;678;1261420;Andalucía;0.5375
cadiz;falsificacion_informatica;2023;531;1258730;Andalucía;0.4219
cadiz;falsificacion_informatica;2022;509;1254866;Andalucía;0.4056
cadiz;fraude_informatico;2024;10821;1261420;Andalucía;8.5784
cadiz;fraude_informatico;2023;11370;1258730;Andalucía;9.0329
cadiz;fraude_informatico;2022;8982;1254866;Andalucía;7.1577
cadiz;interferencia_en_los_datos_y_en_el_sistema;2024;40;1261420;Andalucía;0.0317
cadiz;interferencia_en_los_datos_y_en_el_sistema;2023;46;1258730;Andalucía;0.0365
cadiz;interferencia_en_los_datos_y_en_el_sistema;2022;37;1254866;Andalucía;0.0295
castellon;acceso__e_interceptacion_ilicita;2024;117;627620;C. Valenciana;0.1864
castellon;acceso__e_interceptacion_ilicita;2023;69;615188;C. Valenciana;0.1122
castellon;acceso__e_interceptacion_ilicita;2022;51;604086;C. Valenciana;0.0844
castellon;amenazas_y_coacciones;2024;190;627620;C. Valenciana;0.3027
castellon;amenazas_y_coacciones;2023;162;615188;C. Valenciana;0.2633
castellon;amenazas_y_coacciones;2022;208;604086;C. Valenciana;0.3443
castellon;contra_el_honor;2024;7;627620;C. Valenciana;0.0112
castellon;contra_el_honor;2023;14;615188;C. Valenciana;0.0228
castellon;contra_el_honor;2022;15;604086;C. Valenciana;0.0248
castellon;contra_la_propiedad_industrial/intelectual;2024;1;627620;C. Valenciana;0.0016
castellon;contra_la_propiedad_industrial/intelectual;2023;0;615188;C. Valenciana;0.0
castellon;contra_la_propiedad_industrial/intelectual;2022;0;604086;C. Valenciana;0.0
castellon;delitos_sexuales;2024;12;627620;C. Valenciana;0.0191
castellon;delitos_sexuales;2023;25;615188;C. Valenciana;0.0406
castellon;delitos_sexuales;2022;26;604086;C. Valenciana;0.043
castellon;falsificacion_informatica;2024;212;627620;C. Valenciana;0.3378
castellon;falsificacion_informatica;2023;121;615188;C. Valenciana;0.1967
castellon;falsificacion_informatica;2022;127;604086;C. Valenciana;0.2102
castellon;fraude_informatico;2024;3782;627620;C. Valenciana;6.0259
castellon;fraude_informatico;2023;3557;615188;C. Valenciana;5.782
castellon;fraude_informatico;2022;2137;604086;C. Valenciana;3.5376
castellon;interferencia_en_los_datos_y_en_el_sistema;2024;12;627620;C. Valenciana;0.0191
castellon;interferencia_en_los_datos_y_en_el_sistema;2023;10;615188;C. Valenciana;0.0163
castellon;interferencia_en_los_datos_y_en_el_sistema;2022;12;604086;C. Valenciana;0.0199
ciudad_real;acceso__e_interceptacion_ilicita;2024;29;494848;Castilla-La Mancha;0.0586
ciudad_real;acceso__e_interceptacion_ilicita;2023;49;492948;Castilla-La Mancha;0.0994
ciudad_real;acceso__e_interceptacion_ilicita;2022;42;491927;Castilla-La Mancha;0.0854
ciudad_real;amenazas_y_coacciones;2024;124;494848;Castilla-La Mancha;0.2506
ciudad_real;amenazas_y_coacciones;2023;132;492948;Castilla-La Mancha;0.2678
ciudad_real;amenazas_y_coacciones;2022;150;491927;Castilla-La Mancha;0.3049
ciudad_real;contra_el_honor;2024;10;494848;Castilla-La Mancha;0.0202
ciudad_real;contra_el_honor;2023;19;492948;Castilla-La Mancha;0.0385
ciudad_real;contra_el_honor;2022;23;491927;Castilla-La Mancha;0.0468
ciudad_real;contra_la_propiedad_industrial/intelectual;2024;0;494848;Castilla-La Mancha;0.0
ciudad_real;contra_la_propiedad_industrial/intelectual;2023;1;492948;Castilla-La Mancha;0.002
ciudad_real;contra_la_propiedad_industrial/intelectual;2022;0;491927;Castilla-La Mancha;0.0
ciudad_real;delitos_sexuales;2024;4;494848;Castilla-La Mancha;0.0081
ciudad_real;delitos_sexuales;2023;14;492948;Castilla-La Mancha;0.0284
ciudad_real;delitos_sexuales;2022;13;491927;Castilla-La Mancha;0.0264
ciudad_real;falsificacion_informatica;2024;152;494848;Castilla-La Mancha;0.3072
ciudad_real;falsificacion_informatica;2023;128;492948;Castilla-La Mancha;0.2597
ciudad_real;falsificacion_informatica;2022;126;491927;Castilla-La Mancha;0.2561
ciudad_real;fraude_informatico;2024;3047;494848;Castilla-La Mancha;6.1574
ciudad_real;fraude_informatico;2023;3190;492948;Castilla-La Mancha;6.4713
ciudad_real;fraude_informatico;2022;2880;491927;Castilla-La Mancha;5.8545
ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2024;15;494848;Castilla-La Mancha;0.0303
ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2023;9;492948;Castilla-La Mancha;0.0183
ciudad_real;interferencia_en_los_datos_y_en_el_sistema;2022;9;491927;Castilla-La Mancha;0.0183
cordoba;acceso__e_interceptacion_ilicita;2024;225;773163;Andalucía;0.291
cordoba;acceso__e_interceptacion_ilicita;2023;169;774313;Andalucía;0.2183
cordoba;acceso__e_interceptacion_ilicita;2022;101;775002;Andalucía;0.1303
cordoba;amenazas_y_coacciones;2024;274;773163;Andalucía;0.3544
cordoba;amenazas_y_coacciones;2023;299;774313;Andalucía;0.3861
cordoba;amenazas_y_coacciones;2022;299;775002;Andalucía;0.3858
cordoba;contra_el_honor;2024;20;773163;Andalucía;0.0259
cordoba;contra_el_honor;2023;39;774313;Andalucía;0.0504
cordoba;contra_el_honor;2022;42;775002;Andalucía;0.0542
cordoba;contra_la_propiedad_industrial/intelectual;2024;3;773163;Andalucía;0.0039
cordoba;contra_la_propiedad_industrial/intelectual;2023;0;774313;Andalucía;0.0
cordoba;contra_la_propiedad_industrial/intelectual;2022;4;775002;Andalucía;0.0052
cordoba;delitos_sexuales;2024;26;773163;Andalucía;0.0336
cordoba;delitos_sexuales;2023;28;774313;Andalucía;0.0362
cordoba;delitos_sexuales;2022;29;775002;Andalucía;0.0374
cordoba;falsificacion_informatica;2024;401;773163;Andalucía;0.5186
cordoba;falsificacion_informatica;2023;383;774313;Andalucía;0.4946
cordoba;falsificacion_informatica;2022;275;775002;Andalucía;0.3548
cordoba;fraude_informatico;2024;6462;773163;Andalucía;8.3579
cordoba;fraude_informatico;2023;6732;774313;Andalucía;8.6942
cordoba;fraude_informatico;2022;4632;775002;Andalucía;5.9768
cordoba;interferencia_en_los_datos_y_en_el_sistema;2024;34;773163;Andalucía;0.044
cordoba;interferencia_en_los_datos_y_en_el_sistema;2023;20;774313;Andalucía;0.0258
cordoba;interferencia_en_los_datos_y_en_el_sistema;2022;32;775002;Andalucía;0.0413
coruna;acceso__e_interceptacion_ilicita;2024;318;1135623;Galicia;0.28
coruna;acceso__e_interceptacion_ilicita;2023;199;1128449;Galicia;0.1763
coruna;acceso__e_interceptacion_ilicita;2022;155;1123884;Galicia;0.1379
coruna;amenazas_y_coacciones;2024;495;1135623;Galicia;0.4359
coruna;amenazas_y_coacciones;2023;470;1128449;Galicia;0.4165
coruna;amenazas_y_coacciones;2022;475;1123884;Galicia;0.4226
coruna;contra_el_honor;2024;66;1135623;Galicia;0.0581
coruna;contra_el_honor;2023;64;1128449;Galicia;0.0567
coruna;contra_el_honor;2022;46;1123884;Galicia;0.0409
coruna;contra_la_propiedad_industrial/intelectual;2024;3;1135623;Galicia;0.0026
coruna;contra_la_propiedad_industrial/intelectual;2023;0;1128449;Galicia;0.0
coruna;contra_la_propiedad_industrial/intelectual;2022;3;1123884;Galicia;0.0027
coruna;delitos_sexuales;2024;39;1135623;Galicia;0.0343
coruna;delitos_sexuales;2023;48;1128449;Galicia;0.0425
coruna;delitos_sexuales;2022;29;1123884;Galicia;0.0258
coruna;falsificacion_informatica;2024;559;1135623;Galicia;0.4922
coruna;falsificacion_informatica;2023;438;1128449;Galicia;0.3881
coruna;falsificacion_informatica;2022;259;1123884;Galicia;0.2305
coruna;fraude_informatico;2024;8452;1135623;Galicia;7.4426
coruna;fraude_informatico;2023;7639;1128449;Galicia;6.7695
coruna;fraude_informatico;2022;7434;1123884;Galicia;6.6146
coruna;interferencia_en_los_datos_y_en_el_sistema;2024;45;1135623;Galicia;0.0396
coruna;interferencia_en_los_datos_y_en_el_sistema;2023;46;1128449;Galicia;0.0408
coruna;interferencia_en_los_datos_y_en_el_sistema;2022;36;1123884;Galicia;0.032
cuenca;acceso__e_interceptacion_ilicita;2024;14;199859;Castilla-La Mancha;0.07
cuenca;acceso__e_interceptacion_ilicita;2023;19;199025;Castilla-La Mancha;0.0955
cuenca;acceso__e_interceptacion_ilicita;2022;12;198436;Castilla-La Mancha;0.0605
cuenca;amenazas_y_coacciones;2024;63;199859;Castilla-La Mancha;0.3152
cuenca;amenazas_y_coacciones;2023;45;199025;Castilla-La Mancha;0.2261
cuenca;amenazas_y_coacciones;2022;63;198436;Castilla-La Mancha;0.3175
