codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Tipologia
06;badajoz;delitos_sexuales;2022;21;666049;Extremadura;0.0315;0.41281698447021825
06;badajoz;delitos_sexuales;2023;31;666029;Extremadura;0.0465;0.5454865387999297
06;badajoz;delitos_sexuales;2024;26;665155;Extremadura;0.0391;0.4510756419153366
06;badajoz;falsificacion_informatica;2022;280;666049;Extremadura;0.4204;5.50422645960291
06;badajoz;falsificacion_informatica;2023;338;666029;Extremadura;0.5075;5.947562906915362
06;badajoz;falsificacion_informatica;2024;500;665155;Extremadura;0.7517;8.674531575294935
06;badajoz;interferencia_en_los_datos_y_en_el_sistema;2022;20;666049;Extremadura;0.03;0.39315903282877923
06;badajoz;interferencia_en_los_datos_y_en_el_sistema;2023;20;666029;Extremadura;0.03;0.35192679922576103
06;badajoz;interferencia_en_los_datos_y_en_el_sistema;2024;17;665155;Extremadura;0.0256;0.29493407356002777
07;balears;acceso__e_interceptacion_ilicita;2022;240;1209906;Islas Baleares;0.1984;2.7583036432593957
07;balears;acceso__e_interceptacion_ilicita;2023;215;1231768;Islas Baleares;0.1745;1.872006965607314
07;balears;acceso__e_interceptacion_ilicita;2024;246;1249844;Islas Baleares;0.1968;1.8991739365397977
07;balears;amenazas_y_coacciones;2022;567;1209906;Islas Baleares;0.4686;6.516492357200322
07;balears;amenazas_y_coacciones;2023;573;1231768;Islas Baleares;0.4652;4.989116238572051
07;balears;amenazas_y_coacciones;2024;659;1249844;Islas Baleares;0.5273;5.087624488535474
07;balears;contra_el_honor;2022;29;1209906;Islas Baleares;0.024;0.33329502356051033
07;balears;contra_el_honor;2023;28;1231768;Islas Baleares;0.0227;0.2437962559860688
07;balears;contra_el_honor;2024;25;1249844;Islas Baleares;0.02;0.1930054813556705
07;balears;contra_la_propiedad_industrial/intelectual;2022;1;1209906;Islas Baleares;0.0008;0.011492931846914148
