codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Fraude;VAR_pct
25;lleida;fraude_informatico;2023;4517;451707;Cataluña;9.9998;95.19494204425712;17.41616844294256
25;lleida;fraude_informatico;2024;4003;458226;Cataluña;8.7359;93.81298336067495;-11.379234004870487
27;lugo;fraude_informatico;2022;1771;324267;Galicia;5.4615;91.71413775245986;
27;lugo;fraude_informatico;2023;1798;325048;Galicia;5.5315;87.70731707317073;1.5245623941276154
27;lugo;fraude_informatico;2024;2037;326022;Galicia;6.248;87.23768736616702;13.292547274749712
28;madrid;fraude_informatico;2022;57794;6871903;Madrid;8.4102;90.64587973273942;
28;madrid;fraude_informatico;2023;71534;7009268;Madrid;10.2056;90.68597000545124;23.774094196629413
28;madrid;fraude_informatico;2024;65361;7113886;Madrid;9.1878;88.9543666725642;-8.629462912740793
29;malaga;fraude_informatico;2022;10230;1752728;Andalucía;5.8366;86.23451066340724;
29;malaga;fraude_informatico;2023;16241;1774701;Andalucía;9.1514;90.26288000889234;58.75855327468231
29;malaga;fraude_informatico;2024;15955;1791183;Andalucía;8.9075;87.96934443402988;-1.7609753094021352
52;melilla;fraude_informatico;2022;329;85493;Melilla;3.8483;81.23456790123457;
52;melilla;fraude_informatico;2023;409;85985;Melilla;4.7566;85.03118503118503;24.316109422492403
52;melilla;fraude_informatico;2024;458;87067;Melilla;5.2603;83.12159709618875;11.980440097799505
30;murcia;fraude_informatico;2022;8651;1551692;Murcia;5.5752;86.76160866512888;
30;murcia;fraude_informatico;2023;12310;1568492;Murcia;7.8483;89.54029677043933;42.295688359727194
30;murcia;fraude_informatico;2024;11558;1586989;Murcia;7.283;87.19728404375708;-6.108854589764423
31;navarra;fraude_informatico;2022;4816;672155;Navarra;7.165;87.57955991998546;
31;navarra;fraude_informatico;2023;6576;678333;Navarra;9.6944;87.97324414715719;36.54485049833887
31;navarra;fraude_informatico;2024;6090;683854;Navarra;8.9054;87.09954233409611;-7.390510948905105
32;ourense;fraude_informatico;2022;2217;304563;Galicia;7.2793;88.2915173237754;
32;ourense;fraude_informatico;2023;1905;304467;Galicia;6.2568;84.59147424511545;-14.073071718538566
32;ourense;fraude_informatico;2024;1842;305278;Galicia;6.0338;83.01036502929247;-3.307086614173227
