Provincias;Grupo penal;Poblacion_Provincial;periodo;Tasa_Predicha_2025;Hechos_Predichos_2025
ourense;acceso__e_interceptacion_ilicita;305278;2025;0.3033406138420105;93.0
ourense;amenazas_y_coacciones;305278;2025;0.5423582792282104;166.0
ourense;contra_el_honor;305278;2025;0.05020792409777641;15.0
ourense;contra_la_propiedad_industrial/intelectual;305278;2025;0.013996664434671402;4.0
ourense;delitos_sexuales;305278;2025;0.026888474822044373;8.0
ourense;falsificacion_informatica;305278;2025;0.3524397909641266;108.0
ourense;interferencia_en_los_datos_y_en_el_sistema;305278;2025;0.03454786539077759;11.0
palencia;acceso__e_interceptacion_ilicita;158702;2025;0.34940871596336365;55.0
palencia;amenazas_y_coacciones;158702;2025;0.3630058467388153;58.0
palencia;contra_el_honor;158702;2025;0.012228704988956451;2.0
palencia;contra_la_propiedad_industrial/intelectual;158702;2025;0.0017360321944579482;0.0
palencia;delitos_sexuales;158702;2025;0.030667204409837723;5.0
palencia;falsificacion_informatica;158702;2025;0.5406967997550964;86.0
palencia;interferencia_en_los_datos_y_en_el_sistema;158702;2025;0.03672902658581734;6.0
palmas;acceso__e_interceptacion_ilicita;1171547;2025;0.23512636125087738;275.0
palmas;amenazas_y_coacciones;1171547;2025;0.3561933636665344;417.0
palmas;contra_el_honor;1171547;2025;0.04423951730132103;52.0
palmas;contra_la_propiedad_industrial/intelectual;1171547;2025;0.0027351719327270985;3.0
palmas;delitos_sexuales;1171547;2025;0.03443346917629242;40.0
palmas;falsificacion_informatica;1171547;2025;0.32799556851387024;384.0
palmas;interferencia_en_los_datos_y_en_el_sistema;1171547;2025;0.024250397458672523;28.0
pontevedra;acceso__e_interceptacion_ilicita;947818;2025;0.2341490089893341;222.0
pontevedra;amenazas_y_coacciones;947818;2025;0.582560658454895;552.0
pontevedra;contra_el_honor;947818;2025;0.06982318311929703;66.0
pontevedra;contra_la_propiedad_industrial/intelectual;947818;2025;0.002653213683515787;3.0
pontevedra;delitos_sexuales;947818;2025;0.035726360976696014;34.0
pontevedra;falsificacion_informatica;947818;2025;0.4920676052570343;466.0
pontevedra;interferencia_en_los_datos_y_en_el_sistema;947818;2025;0.09127174317836761;87.0
rioja;acceso__e_interceptacion_ilicita;326803;2025;0.47129198908805847;154.0
rioja;amenazas_y_coacciones;326803;2025;0.50446617603302;165.0
rioja;contra_el_honor;326803;2025;0.03253292292356491;11.0
rioja;contra_la_propiedad_industrial/intelectual;326803;2025;0.00571300508454442;2.0
rioja;delitos_sexuales;326803;2025;0.019758637994527817;6.0
rioja;falsificacion_informatica;326803;2025;0.4175601899623871;136.0
rioja;interferencia_en_los_datos_y_en_el_sistema;326803;2025;0.014887024648487568;5.0
salamanca;acceso__e_interceptacion_ilicita;328446;2025;0.5025181770324707;165.0
salamanca;amenazas_y_coacciones;328446;2025;0.47475767135620117;156.0
salamanca;contra_el_honor;328446;2025;0.02997223287820816;10.0
salamanca;contra_la_propiedad_industrial/intelectual;328446;2025;0.0062834229320287704;2.0
salamanca;delitos_sexuales;328446;2025;0.026812328025698662;9.0
salamanca;falsificacion_informatica;328446;2025;0.8678225874900818;285.0
salamanca;interferencia_en_los_datos_y_en_el_sistema;328446;2025;0.08966140449047089;29.0
santa_cruz_de_tenerife;acceso__e_interceptacion_ilicita;1087319;2025;0.16882775723934174;184.0
santa_cruz_de_tenerife;amenazas_y_coacciones;1087319;2025;0.35596323013305664;387.0
santa_cruz_de_tenerife;contra_el_honor;1087319;2025;0.0120766069740057;13.0
santa_cruz_de_tenerife;contra_la_propiedad_industrial/intelectual;1087319;2025;0.0010503126541152596;1.0
santa_cruz_de_tenerife;delitos_sexuales;1087319;2025;0.03213135898113251;35.0
santa_cruz_de_tenerife;falsificacion_informatica;1087319;2025;0.3139084279537201;341.0
santa_cruz_de_tenerife;interferencia_en_los_datos_y_en_el_sistema;1087319;2025;0.026897354051470757;29.0
segovia;acceso__e_interceptacion_ilicita;158251;2025;0.11531481146812439;18.0
segovia;amenazas_y_coacciones;158251;2025;0.4261713922023773;67.0
segovia;contra_el_honor;158251;2025;0.028364717960357666;4.0
segovia;contra_la_propiedad_industrial/intelectual;158251;2025;0.0017360321944579482;0.0
segovia;delitos_sexuales;158251;2025;0.02173188328742981;3.0
segovia;falsificacion_informatica;158251;2025;0.448312371969223;71.0
segovia;interferencia_en_los_datos_y_en_el_sistema;158251;2025;0.011483979411423206;2.0
sevilla;acceso__e_interceptacion_ilicita;1977664;2025;0.32289499044418335;639.0
sevilla;amenazas_y_coacciones;1977664;2025;0.5172138810157776;1023.0
sevilla;contra_el_honor;1977664;2025;0.04223654419183731;84.0
sevilla;contra_la_propiedad_industrial/intelectual;1977664;2025;0.0027070874348282814;5.0
sevilla;delitos_sexuales;1977664;2025;0.03769714757800102;75.0
sevilla;falsificacion_informatica;1977664;2025;0.20647835731506348;408.0
sevilla;interferencia_en_los_datos_y_en_el_sistema;1977664;2025;0.055784672498703;110.0
soria;acceso__e_interceptacion_ilicita;90183;2025;0.1003405749797821;9.0
soria;amenazas_y_coacciones;90183;2025;0.3950921893119812;36.0
soria;contra_el_honor;90183;2025;0.06879834830760956;6.0
soria;contra_la_propiedad_industrial/intelectual;90183;2025;0.0030371027532964945;0.0
soria;delitos_sexuales;90183;2025;0.012575369328260422;1.0
soria;falsificacion_informatica;90183;2025;0.5793519020080566;52.0
soria;interferencia_en_los_datos_y_en_el_sistema;90183;2025;0.0683443546295166;6.0
tarragona;acceso__e_interceptacion_ilicita;875530;2025;0.0743439644575119;65.0
tarragona;amenazas_y_coacciones;875530;2025;0.10680261999368668;94.0
tarragona;contra_el_honor;875530;2025;0.001490055932663381;1.0
tarragona;contra_la_propiedad_industrial/intelectual;875530;2025;0.001490055932663381;1.0
tarragona;delitos_sexuales;875530;2025;0.019871944561600685;17.0
tarragona;falsificacion_informatica;875530;2025;0.6356533169746399;557.0
tarragona;interferencia_en_los_datos_y_en_el_sistema;875530;2025;0.007186634931713343;6.0
