Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;codigo_ine;Total_Provincial;Peso_Tipologia;Peso_Fraude;VAR_pct
jaen;acceso__e_interceptacion_ilicita;2022;46;620637;Andalucía;0.0741;23;3742;1.2292891501870657;;
jaen;acceso__e_interceptacion_ilicita;2023;75;619055;Andalucía;0.1212;23;5526;1.3572204125950056;;63.043478260869556
jaen;acceso__e_interceptacion_ilicita;2024;55;618143;Andalucía;0.089;23;4986;1.103088648215002;;-26.66666666666667
jaen;amenazas_y_coacciones;2022;213;620637;Andalucía;0.3432;23;3742;5.692143238909674;;
jaen;amenazas_y_coacciones;2023;150;619055;Andalucía;0.2423;23;5526;2.714440825190011;;-29.5774647887324
jaen;amenazas_y_coacciones;2024;171;618143;Andalucía;0.2766;23;4986;3.429602888086643;;13.99999999999999
jaen;contra_el_honor;2022;24;620637;Andalucía;0.0387;23;3742;0.6413682522715126;;
jaen;contra_el_honor;2023;16;619055;Andalucía;0.0258;23;5526;0.2895403546869345;;-33.333333333333336
jaen;contra_el_honor;2024;23;618143;Andalucía;0.0372;23;4986;0.4612916165262736;;43.75
jaen;contra_la_propiedad_industrial/intelectual;2022;1;620637;Andalucía;0.0016;23;3742;0.026723677177979688;;
jaen;contra_la_propiedad_industrial/intelectual;2023;2;619055;Andalucía;0.0032;23;5526;0.036192544335866814;;100.0
jaen;contra_la_propiedad_industrial/intelectual;2024;1;618143;Andalucía;0.0016;23;4986;0.02005615724027276;;-50.0
jaen;delitos_sexuales;2022;16;620637;Andalucía;0.0258;23;3742;0.427578834847675;;
jaen;delitos_sexuales;2023;11;619055;Andalucía;0.0178;23;5526;0.19905899384726747;;-31.25
jaen;delitos_sexuales;2024;9;618143;Andalucía;0.0146;23;4986;0.18050541516245489;;-18.181818181818176
jaen;falsificacion_informatica;2022;227;620637;Andalucía;0.3658;23;3742;6.06627471940139;;
jaen;falsificacion_informatica;2023;229;619055;Andalucía;0.3699;23;5526;4.14404632645675;;0.8810572687224738
jaen;falsificacion_informatica;2024;320;618143;Andalucía;0.5177;23;4986;6.417970316887285;;39.73799126637554
jaen;fraude_informatico;2022;3207;620637;Andalucía;5.1673;23;3742;85.70283270978086;85.70283270978086;
jaen;fraude_informatico;2023;5034;619055;Andalucía;8.1317;23;5526;91.09663409337676;91.09663409337676;56.96913002806361
jaen;fraude_informatico;2024;4397;618143;Andalucía;7.1132;23;4986;88.18692338547935;88.18692338547935;-12.653953118792217
jaen;interferencia_en_los_datos_y_en_el_sistema;2022;8;620637;Andalucía;0.0129;23;3742;0.2137894174238375;;
jaen;interferencia_en_los_datos_y_en_el_sistema;2023;9;619055;Andalucía;0.0145;23;5526;0.16286644951140067;;12.5
jaen;interferencia_en_los_datos_y_en_el_sistema;2024;10;618143;Andalucía;0.0162;23;4986;0.20056157240272765;;11.111111111111116
leon;acceso__e_interceptacion_ilicita;2022;58;448573;Castilla y León;0.1293;24;3757;1.543784934788395;;
leon;acceso__e_interceptacion_ilicita;2023;52;447802;Castilla y León;0.1161;24;4354;1.1943040881947635;;-10.344827586206895
leon;acceso__e_interceptacion_ilicita;2024;70;448030;Castilla y León;0.1562;24;4525;1.5469613259668509;;34.61538461538463
leon;amenazas_y_coacciones;2022;178;448573;Castilla y León;0.3968;24;3757;4.737822730902316;;
leon;amenazas_y_coacciones;2023;184;447802;Castilla y León;0.4109;24;4354;4.225999081304548;;3.370786516853941
leon;amenazas_y_coacciones;2024;183;448030;Castilla y León;0.4085;24;4525;4.044198895027624;;-0.5434782608695676
